DFC_ANIO_PK|DFC_DESCRIPCION_MES|CODIGO_OPERA_FAMILIA|DESCRIPCION_FAMILIA|DESCRIPCION_PROVINCIA|TOTAL
2021|06 Junio|S|OTRAS ACTIVIDADES DE SERVICIOS.|TUNGURAHUA|207
2021|08 Agosto|I|ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS.|PICHINCHA|4074
2021|08 Agosto|G|COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS.|LOS RIOS|6122
2021|10 Octubre|S|OTRAS ACTIVIDADES DE SERVICIOS.|AZUAY|384
2021|05 Mayo|P|ENSEÑANZA.|NAPO|3
2021|03 Marzo|S|OTRAS ACTIVIDADES DE SERVICIOS.|PICHINCHA|1197
2021|10 Octubre|C|INDUSTRIAS MANUFACTURERAS.|GUAYAS|518
2021|07 Julio|G|COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS.|PICHINCHA|1304
2021|01 Enero|F|CONSTRUCCIÓN.|GUAYAS|70
2021|08 Agosto|S|OTRAS ACTIVIDADES DE SERVICIOS.|IMBABURA|1470
2021|01 Enero|A|AGRICULTURA, GANADERÍA,  SILVICULTURA Y PESCA.|LOS RIOS|93
2021|06 Junio|I|ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS.|PICHINCHA|289
2021|10 Octubre|G|COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS.|SANTA ELENA|333
2021|08 Agosto|M|ACTIVIDADES PROFESIONALES, CIENTÍFICAS Y TÉCNICAS.|PICHINCHA|2975
2021|08 Agosto|S|OTRAS ACTIVIDADES DE SERVICIOS.|CAÑAR|397
2021|09 Septiembre|G|COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS.|GUAYAS|834
2021|02 Febrero|S|OTRAS ACTIVIDADES DE SERVICIOS.|SANTO DOMINGO DE LOS TSACHILAS|71
2021|11 Noviembre|G|COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS.|MANABI|312
2021|07 Julio|A|AGRICULTURA, GANADERÍA,  SILVICULTURA Y PESCA.|ESMERALDAS|250
2021|08 Agosto|C|INDUSTRIAS MANUFACTURERAS.|GUAYAS|5685
2021|01 Enero|G|COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS.|AZUAY|226
2021|02 Febrero|N|ACTIVIDADES DE SERVICIOS ADMINISTRATIVOS Y DE APOYO.|PICHINCHA|93
2021|08 Agosto|H|TRANSPORTE Y ALMACENAMIENTO.|EL ORO|601
2021|03 Marzo|S|OTRAS ACTIVIDADES DE SERVICIOS.|NAPO|38
2021|08 Agosto|F|CONSTRUCCIÓN.|PICHINCHA|1689
2021|07 Julio|I|ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS.|GUAYAS|241
2021|08 Agosto|C|INDUSTRIAS MANUFACTURERAS.|ORELLANA|140
2021|09 Septiembre|F|CONSTRUCCIÓN.|GUAYAS|91
2021|08 Agosto|P|ENSEÑANZA.|CHIMBORAZO|111
2021|09 Septiembre|L|ACTIVIDADES INMOBILIARIAS.|PICHINCHA|172
2021|07 Julio|N|ACTIVIDADES DE SERVICIOS ADMINISTRATIVOS Y DE APOYO.|GUAYAS|100
2021|10 Octubre|F|CONSTRUCCIÓN.|MORONA SANTIAGO|42
2021|01 Enero|G|COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS.|CAÑAR|74
2021|05 Mayo|P|ENSEÑANZA.|GUAYAS|185
2021|08 Agosto|H|TRANSPORTE Y ALMACENAMIENTO.|MANABI|1554
2021|08 Agosto|R|ARTES, ENTRETENIMIENTO Y RECREACIÓN.|AZUAY|100
2021|03 Marzo|G|COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS.|MANABI|443
2021|06 Junio|Q|ACTIVIDADES DE ATENCIÓN DE LA SALUD HUMANA Y DE ASISTENCIA SOCIAL.|GUAYAS|71
2021|10 Octubre|M|ACTIVIDADES PROFESIONALES, CIENTÍFICAS Y TÉCNICAS.|IMBABURA|54
2021|12 Diciembre|M|ACTIVIDADES PROFESIONALES, CIENTÍFICAS Y TÉCNICAS.|AZUAY|138
2021|12 Diciembre|A|AGRICULTURA, GANADERÍA,  SILVICULTURA Y PESCA.|GUAYAS|636
2021|05 Mayo|H|TRANSPORTE Y ALMACENAMIENTO.|EL ORO|122
2021|08 Agosto|A|AGRICULTURA, GANADERÍA,  SILVICULTURA Y PESCA.|AZUAY|1106
2021|04 Abril|G|COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS.|AZUAY|158
2021|11 Noviembre|G|COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS.|GUAYAS|795
2021|12 Diciembre|C|INDUSTRIAS MANUFACTURERAS.|PICHINCHA|411
2021|08 Agosto|S|OTRAS ACTIVIDADES DE SERVICIOS.|NAPO|453
2021|10 Octubre|G|COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS.|PASTAZA|85
2021|08 Agosto|C|INDUSTRIAS MANUFACTURERAS.|COTOPAXI|393
2021|12 Diciembre|G|COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS.|ESMERALDAS|328
2021|05 Mayo|P|ENSEÑANZA.|COTOPAXI|23
2021|08 Agosto|C|INDUSTRIAS MANUFACTURERAS.|CAÑAR|244
2021|09 Septiembre|S|OTRAS ACTIVIDADES DE SERVICIOS.|BOLIVAR|22
2021|11 Noviembre|L|ACTIVIDADES INMOBILIARIAS.|GUAYAS|92
2021|08 Agosto|I|ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS.|SANTA ELENA|725
2021|10 Octubre|M|ACTIVIDADES PROFESIONALES, CIENTÍFICAS Y TÉCNICAS.|COTOPAXI|34
2021|10 Octubre|A|AGRICULTURA, GANADERÍA,  SILVICULTURA Y PESCA.|COTOPAXI|194
2021|12 Diciembre|M|ACTIVIDADES PROFESIONALES, CIENTÍFICAS Y TÉCNICAS.|GUAYAS|366
2021|08 Agosto|R|ARTES, ENTRETENIMIENTO Y RECREACIÓN.|BOLIVAR|27
2021|01 Enero|G|COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS.|PICHINCHA|954
2021|05 Mayo|A|AGRICULTURA, GANADERÍA,  SILVICULTURA Y PESCA.|EL ORO|125
2021|12 Diciembre|C|INDUSTRIAS MANUFACTURERAS.|COTOPAXI|52
2021|01 Enero|Q|ACTIVIDADES DE ATENCIÓN DE LA SALUD HUMANA Y DE ASISTENCIA SOCIAL.|PICHINCHA|157
2021|08 Agosto|V|SIN ACTIVIDAD ECONOMICA - CIIU|TUNGURAHUA|10
2021|05 Mayo|G|COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS.|LOS RIOS|331
2021|04 Abril|A|AGRICULTURA, GANADERÍA,  SILVICULTURA Y PESCA.|COTOPAXI|36
2021|10 Octubre|G|COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS.|BOLIVAR|216
2021|08 Agosto|S|OTRAS ACTIVIDADES DE SERVICIOS.|MORONA SANTIAGO|354
2021|09 Septiembre|P|ENSEÑANZA.|SANTO DOMINGO DE LOS TSACHILAS|15
2021|11 Noviembre|H|TRANSPORTE Y ALMACENAMIENTO.|AZUAY|37
2021|11 Noviembre|G|COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS.|LOS RIOS|134
2021|08 Agosto|S|OTRAS ACTIVIDADES DE SERVICIOS.|COTOPAXI|682
2021|02 Febrero|I|ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS.|AZUAY|68
2021|10 Octubre|H|TRANSPORTE Y ALMACENAMIENTO.|TUNGURAHUA|49
2021|10 Octubre|G|COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS.|AZUAY|529
2021|08 Agosto|B|EXPLOTACIÓN DE MINAS Y CANTERAS.|EL ORO|88
2021|03 Marzo|Q|ACTIVIDADES DE ATENCIÓN DE LA SALUD HUMANA Y DE ASISTENCIA SOCIAL.|SUCUMBIOS|7
2021|12 Diciembre|T|ACTIVIDADES DE LOS HOGARES COMO EMPLEADORES; ACTIVIDADES NO DIFERENCIADAS DE LOS HOGARES COMO PRODUCTORES DE BIENES Y SERVICIOS PARA USO PROPIO.|SUCUMBIOS|4
2021|04 Abril|G|COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS.|ZAMORA CHINCHIPE|26
2021|08 Agosto|N|ACTIVIDADES DE SERVICIOS ADMINISTRATIVOS Y DE APOYO.|ESMERALDAS|214
2021|09 Septiembre|L|ACTIVIDADES INMOBILIARIAS.|GUAYAS|124
2021|09 Septiembre|Q|ACTIVIDADES DE ATENCIÓN DE LA SALUD HUMANA Y DE ASISTENCIA SOCIAL.|ZAMORA CHINCHIPE|1
2021|09 Septiembre|A|AGRICULTURA, GANADERÍA,  SILVICULTURA Y PESCA.|GUAYAS|135
2021|03 Marzo|M|ACTIVIDADES PROFESIONALES, CIENTÍFICAS Y TÉCNICAS.|GUAYAS|432
2021|04 Abril|A|AGRICULTURA, GANADERÍA,  SILVICULTURA Y PESCA.|AZUAY|15
2021|04 Abril|P|ENSEÑANZA.|GUAYAS|83
2021|04 Abril|Q|ACTIVIDADES DE ATENCIÓN DE LA SALUD HUMANA Y DE ASISTENCIA SOCIAL.|PICHINCHA|81
2021|02 Febrero|A|AGRICULTURA, GANADERÍA,  SILVICULTURA Y PESCA.|PICHINCHA|80
2021|08 Agosto|P|ENSEÑANZA.|CARCHI|28
2021|02 Febrero|S|OTRAS ACTIVIDADES DE SERVICIOS.|LOJA|48
2021|08 Agosto|J|INFORMACIÓN Y COMUNICACIÓN.|LOS RIOS|57
2021|02 Febrero|S|OTRAS ACTIVIDADES DE SERVICIOS.|ORELLANA|29
2021|03 Marzo|R|ARTES, ENTRETENIMIENTO Y RECREACIÓN.|PICHINCHA|74
2021|10 Octubre|F|CONSTRUCCIÓN.|LOJA|24
2021|05 Mayo|L|ACTIVIDADES INMOBILIARIAS.|AZUAY|82
2021|07 Julio|G|COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS.|IMBABURA|167
2021|11 Noviembre|I|ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS.|GUAYAS|175
2021|08 Agosto|V|SIN ACTIVIDAD ECONOMICA - CIIU|EL ORO|30
2021|02 Febrero|M|ACTIVIDADES PROFESIONALES, CIENTÍFICAS Y TÉCNICAS.|GUAYAS|318
2021|05 Mayo|A|AGRICULTURA, GANADERÍA,  SILVICULTURA Y PESCA.|SANTO DOMINGO DE LOS TSACHILAS|102
2021|11 Noviembre|Q|ACTIVIDADES DE ATENCIÓN DE LA SALUD HUMANA Y DE ASISTENCIA SOCIAL.|GUAYAS|51
2021|06 Junio|I|ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS.|SANTO DOMINGO DE LOS TSACHILAS|38
2021|09 Septiembre|R|ARTES, ENTRETENIMIENTO Y RECREACIÓN.|CHIMBORAZO|9
2021|12 Diciembre|G|COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS.|CHIMBORAZO|383
2021|07 Julio|G|COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS.|LOS RIOS|224
2021|07 Julio|L|ACTIVIDADES INMOBILIARIAS.|AZUAY|82
2021|02 Febrero|S|OTRAS ACTIVIDADES DE SERVICIOS.|IMBABURA|112
