DFC_ANIO_PK;DFC_DESCRIPCION_MES;CODIGO_OPERA_FAMILIA;DESCRIPCION_FAMILIA;DESCRIPCION_PROVINCIA;COUNT(O667410.NUMERO_RUC)
2018;06 Junio;A;AGRICULTURA, GANADERÍA,  SILVICULTURA Y PESCA.;SUCUMBIOS;115
2018;06 Junio;G;"COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS.";AZUAY;285
2018;08 Agosto;G;"COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS.";PICHINCHA;1450
2018;09 Septiembre;M;ACTIVIDADES PROFESIONALES, CIENTÍFICAS Y TÉCNICAS.;AZUAY;167
2018;08 Agosto;H;TRANSPORTE Y ALMACENAMIENTO.;AZUAY;47
2018;02 Febrero;C;INDUSTRIAS MANUFACTURERAS.;AZUAY;89
2018;05 Mayo;H;TRANSPORTE Y ALMACENAMIENTO.;AZUAY;59
2018;07 Julio;I;ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS.;AZUAY;77
2018;09 Septiembre;A;AGRICULTURA, GANADERÍA,  SILVICULTURA Y PESCA.;AZUAY;84
2018;03 Marzo;I;ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS.;MORONA SANTIAGO;21
2018;05 Mayo;G;"COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS.";ZAMORA CHINCHIPE;47
2018;09 Septiembre;Q;ACTIVIDADES DE ATENCIÓN DE LA SALUD HUMANA Y DE ASISTENCIA SOCIAL.;CAÑAR;6
2018;11 Noviembre;F;CONSTRUCCIÓN.;GUAYAS;194
2018;07 Julio;I;ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS.;SUCUMBIOS;34
2018;01 Enero;M;ACTIVIDADES PROFESIONALES, CIENTÍFICAS Y TÉCNICAS.;AZUAY;129
2018;10 Octubre;J;INFORMACIÓN Y COMUNICACIÓN.;AZUAY;11
2018;11 Noviembre;M;ACTIVIDADES PROFESIONALES, CIENTÍFICAS Y TÉCNICAS.;AZUAY;108
2018;07 Julio;M;ACTIVIDADES PROFESIONALES, CIENTÍFICAS Y TÉCNICAS.;AZUAY;113
2018;07 Julio;S;OTRAS ACTIVIDADES DE SERVICIOS.;LOJA;55
2018;11 Noviembre;M;ACTIVIDADES PROFESIONALES, CIENTÍFICAS Y TÉCNICAS.;SANTO DOMINGO DE LOS TSACHILAS;38
2018;07 Julio;P;ENSEÑANZA.;AZUAY;19
2018;07 Julio;Q;ACTIVIDADES DE ATENCIÓN DE LA SALUD HUMANA Y DE ASISTENCIA SOCIAL.;AZUAY;21
2018;06 Junio;I;ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS.;GUAYAS;403
2018;11 Noviembre;G;"COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS.";GUAYAS;1758
2018;09 Septiembre;H;TRANSPORTE Y ALMACENAMIENTO.;ZAMORA CHINCHIPE;10
2018;05 Mayo;A;AGRICULTURA, GANADERÍA,  SILVICULTURA Y PESCA.;ZAMORA CHINCHIPE;50
2018;01 Enero;I;ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS.;AZUAY;88
2018;10 Octubre;A;AGRICULTURA, GANADERÍA,  SILVICULTURA Y PESCA.;CAÑAR;70
2018;06 Junio;J;INFORMACIÓN Y COMUNICACIÓN.;AZUAY;8
2018;05 Mayo;G;"COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS.";PICHINCHA;1321
2018;01 Enero;I;ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS.;MORONA SANTIAGO;19
2018;01 Enero;A;AGRICULTURA, GANADERÍA,  SILVICULTURA Y PESCA.;AZUAY;55
2018;07 Julio;G;"COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS.";LOJA;159
2018;05 Mayo;K;ACTIVIDADES FINANCIERAS Y DE SEGUROS.;CHIMBORAZO;8
2018;04 Abril;G;"COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS.";CHIMBORAZO;230
2018;11 Noviembre;H;TRANSPORTE Y ALMACENAMIENTO.;AZUAY;43
2018;04 Abril;L;ACTIVIDADES INMOBILIARIAS.;AZUAY;30
2018;07 Julio;H;TRANSPORTE Y ALMACENAMIENTO.;AZUAY;49
2018;09 Septiembre;F;CONSTRUCCIÓN.;AZUAY;30
2018;06 Junio;A;AGRICULTURA, GANADERÍA,  SILVICULTURA Y PESCA.;MANABI;402
2018;05 Mayo;A;AGRICULTURA, GANADERÍA,  SILVICULTURA Y PESCA.;LOS RIOS;258
2018;05 Mayo;G;"COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS.";MORONA SANTIAGO;42
2018;01 Enero;S;OTRAS ACTIVIDADES DE SERVICIOS.;IMBABURA;218
2018;01 Enero;S;OTRAS ACTIVIDADES DE SERVICIOS.;TUNGURAHUA;206
2018;01 Enero;L;ACTIVIDADES INMOBILIARIAS.;PICHINCHA;119
2018;01 Enero;A;AGRICULTURA, GANADERÍA,  SILVICULTURA Y PESCA.;SUCUMBIOS;111
2018;01 Enero;G;"COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS.";TUNGURAHUA;229
2018;01 Enero;N;ACTIVIDADES DE SERVICIOS ADMINISTRATIVOS Y DE APOYO.;CAÑAR;47
2018;01 Enero;G;"COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS.";CAÑAR;105
2018;01 Enero;S;OTRAS ACTIVIDADES DE SERVICIOS.;MANABI;198
2018;01 Enero;M;ACTIVIDADES PROFESIONALES, CIENTÍFICAS Y TÉCNICAS.;ESMERALDAS;31
2018;01 Enero;L;ACTIVIDADES INMOBILIARIAS.;CARCHI;7
2018;01 Enero;M;ACTIVIDADES PROFESIONALES, CIENTÍFICAS Y TÉCNICAS.;PASTAZA;14
2018;01 Enero;F;CONSTRUCCIÓN.;PICHINCHA;144
2018;01 Enero;S;OTRAS ACTIVIDADES DE SERVICIOS.;CARCHI;27
2018;01 Enero;N;ACTIVIDADES DE SERVICIOS ADMINISTRATIVOS Y DE APOYO.;PICHINCHA;149
2018;01 Enero;I;ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS.;SUCUMBIOS;38
2018;02 Febrero;G;"COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS.";CARCHI;57
2018;02 Febrero;I;ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS.;PICHINCHA;328
2018;01 Enero;I;ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS.;LOJA;50
2018;01 Enero;P;ENSEÑANZA.;AZUAY;20
2018;01 Enero;S;OTRAS ACTIVIDADES DE SERVICIOS.;GALAPAGOS;23
2018;01 Enero;H;TRANSPORTE Y ALMACENAMIENTO.;SUCUMBIOS;10
2018;01 Enero;G;"COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS.";ORELLANA;75
2018;01 Enero;I;ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS.;CHIMBORAZO;36
2018;01 Enero;H;TRANSPORTE Y ALMACENAMIENTO.;ESMERALDAS;36
2018;01 Enero;I;ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS.;EL ORO;71
2018;01 Enero;Q;ACTIVIDADES DE ATENCIÓN DE LA SALUD HUMANA Y DE ASISTENCIA SOCIAL.;SANTA ELENA;6
2018;02 Febrero;I;ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS.;GUAYAS;273
2018;01 Enero;F;CONSTRUCCIÓN.;SUCUMBIOS;9
2018;01 Enero;I;ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS.;ORELLANA;23
