DFC_ANIO_PK;DFC_DESCRIPCION_MES;CODIGO_OPERA_FAMILIA;DESCRIPCION_FAMILIA;DESCRIPCION_PROVINCIA;COUNT(O667410.NUMERO_RUC)
2017;09 Septiembre;S;OTRAS ACTIVIDADES DE SERVICIOS.;AZUAY;204
2017;06 Junio;A;AGRICULTURA, GANADERÍA,  SILVICULTURA Y PESCA.;CARCHI;80
2017;03 Marzo;S;OTRAS ACTIVIDADES DE SERVICIOS.;EL ORO;258
2017;06 Junio;S;OTRAS ACTIVIDADES DE SERVICIOS.;AZUAY;197
2017;11 Noviembre;G;"COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS.";CAÑAR;87
2017;04 Abril;I;ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS.;AZUAY;78
2017;04 Abril;G;"COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS.";AZUAY;232
2017;04 Abril;G;"COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS.";EL ORO;251
2017;05 Mayo;F;CONSTRUCCIÓN.;AZUAY;21
2017;06 Junio;A;AGRICULTURA, GANADERÍA,  SILVICULTURA Y PESCA.;CHIMBORAZO;119
2017;01 Enero;F;CONSTRUCCIÓN.;AZUAY;20
2017;06 Junio;A;AGRICULTURA, GANADERÍA,  SILVICULTURA Y PESCA.;BOLIVAR;123
2017;06 Junio;J;INFORMACIÓN Y COMUNICACIÓN.;GUAYAS;65
2017;06 Junio;G;"COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS.";BOLIVAR;78
2017;07 Julio;C;INDUSTRIAS MANUFACTURERAS.;AZUAY;92
2017;06 Junio;S;OTRAS ACTIVIDADES DE SERVICIOS.;EL ORO;172
2017;06 Junio;S;OTRAS ACTIVIDADES DE SERVICIOS.;IMBABURA;108
2017;11 Noviembre;H;TRANSPORTE Y ALMACENAMIENTO.;AZUAY;87
2017;11 Noviembre;W;BAJO RELACION DE DEPENDENCIA SECTOR PRIVADO;PICHINCHA;7681
2017;01 Enero;A;AGRICULTURA, GANADERÍA,  SILVICULTURA Y PESCA.;SUCUMBIOS;142
2017;01 Enero;S;OTRAS ACTIVIDADES DE SERVICIOS.;BOLIVAR;59
2017;06 Junio;F;CONSTRUCCIÓN.;TUNGURAHUA;18
2017;06 Junio;F;CONSTRUCCIÓN.;ZAMORA CHINCHIPE;7
2017;02 Febrero;N;ACTIVIDADES DE SERVICIOS ADMINISTRATIVOS Y DE APOYO.;AZUAY;54
2017;01 Enero;I;ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS.;AZUAY;65
